ICAO Aircraft Type Code,IATA Aircraft type Code,Model,Aircraft manufacturer,In Use Indicator (Yes/No),ICAO Airline Code,IATA Airline Code,Number of seats
A310,310,A310,Airbus,,,,220
A310,310,A310,Airbus,yes,IY,IYE,220
A310,310,A310,Airbus,yes,PK,PIA,220
A310,310,A310,Airbus,yes,RJ,RJA,220
A310,310,A310,Airbus,yes,KU,KAC,220
A310,310,A310,Airbus,yes,TS,TSC,220
A310,310,A310,Airbus,yes,S7,SBI,220
A310,310,A310,Airbus,yes,CZ,CSN,220
A310,310,A310,Airbus,yes,FG,AFG,220
A310,310,A310,Airbus,yes,RO,ROT,220
A318,318,A318,Airbus,yes,LA,LAN,107
A318,318,A318,Airbus,yes,AF,AFR,107
A318,318,A318,Airbus,yes,LX,SWR,107
A318,318,A318,Airbus,yes,SN,DAT,107
A318,318,A318,Airbus,,,,107
A318,318,A318,Airbus,yes,AZ,AZA,107
A318,318,A318,Airbus,yes,O6,ONE,107
A318,318,A318,Airbus,yes,RO,ROT,107
A318,318,A318,Airbus,no,,XMS,107
A318,318,A318,Airbus,yes,AA,AAL,107
A318,318,A318,Airbus,,,,107
A318,318,A318,Airbus,yes,IB,IBE,107
A319,319,A319,Airbus,yes,MU,CES,124
A319,319,A319,Airbus,yes,NK,NKS,124
A319,319,A319,Airbus,yes,UP,BHS,124
A319,319,A319,Airbus,yes,TA,TAT,124
A319,319,A319,Airbus,yes,ME,MEA,124
A319,319,A319,Airbus,yes,BI,RBA,124
A319,319,A319,Airbus,yes,QR,QTR,124
A319,319,A319,Airbus,yes,AP,ADH,124
A319,319,A319,Airbus,yes,MK,MAU,124
A319,319,A319,Airbus,yes,LH,DLH,124
A319,319,A319,Airbus,yes,FV,SDM,124
A319,319,A319,Airbus,yes,A3,AEE,124
A319,319,A319,Airbus,yes,ZH,CSZ,124
A319,319,A319,Airbus,yes,RJ,RJA,124
A319,319,A319,Airbus,yes,PC,PGT,124
A319,319,A319,Airbus,yes,KF,BLF,124
A319,319,A319,Airbus,yes,UL,ALK,124
A319,319,A319,Airbus,yes,PR,PAL,124
A319,319,A319,Airbus,,,,124
A319,319,A319,Airbus,yes,EU,EEA,124
A319,319,A319,Airbus,,,,124
A319,319,A319,Airbus,,,,124
A319,319,A319,Airbus,yes,LP,LPE,124
A319,319,A319,Airbus,yes,TD,LUR,124
A319,319,A319,Airbus,yes,JL,JAL,124
A319,319,A319,Airbus,yes,KB,DRK,124
A319,319,A319,Airbus,yes,JA,BON,124
A319,319,A319,Airbus,yes,O6,ONE,124
A319,319,A319,Airbus,yes,VX,VRD,124
A319,319,A319,Airbus,yes,U8,RNV,124
A319,319,A319,Airbus,yes,VA,VAU,124
A319,319,A319,Airbus,yes,AB,BER,124
A319,319,A319,Airbus,yes,KC,KZR,124
A319,319,A319,Airbus,yes,Z2,,124
A319,319,A319,Airbus,yes,SK,SAS,124
A319,319,A319,Airbus,yes,MH,MAS,124
A319,319,A319,Airbus,,,,124
A319,319,A319,Airbus,no,,XMS,124
A319,319,A319,Airbus,,,,124
A319,319,A319,Airbus,,,,124
A319,319,A319,Airbus,yes,SQ,SIA,124
A319,319,A319,Airbus,,,,124
A319,319,A319,Airbus,yes,SV,SVA,124
A319,319,A319,Airbus,yes,TU,TAR,124
A319,319,A319,Airbus,yes,GA,GIA,124
A319,319,A319,Airbus,yes,IB,IBE,124
A319,319,A319,Airbus,yes,LA,LAN,124
A319,319,A319,Airbus,yes,FB,LZB,124
A319,319,A319,Airbus,yes,BD,BMA,124
A319,319,A319,Airbus,yes,3U,CSC,124
A319,319,A319,Airbus,yes,AZ,AZA,124
A319,319,A319,Airbus,yes,UA,UAL,124
A319,319,A319,Airbus,yes,J2,AHY,124
A319,319,A319,Airbus,yes,8L,CGP,124
A319,319,A319,Airbus,yes,4T,BHP,124
A319,319,A319,Airbus,yes,LO,LOT,124
A319,319,A319,Airbus,yes,2K,GLG,124
A319,319,A319,Airbus,yes,TK,THY,124
A319,319,A319,Airbus,yes,VN,HVN,124
A319,319,A319,Airbus,yes,CA,CCA,124
A319,319,A319,Airbus,yes,2J,VBW,124
A319,319,A319,Airbus,yes,ZI,AAF,124
A319,319,A319,Airbus,yes,JK,JKK,124
A319,319,A319,Airbus,,,,124
A319,319,A319,Airbus,yes,5J,CEB,124
A319,319,A319,Airbus,,,,124
A319,319,A319,Airbus,yes,SA,SAA,124
A319,319,A319,Airbus,,,,124
A319,319,A319,Airbus,yes,BN,HZA,124
A319,319,A319,Airbus,yes,GW,KIL,124
A319,319,A319,Airbus,yes,MS,MSR,124
A319,319,A319,Airbus,yes,AC,ACA,124
A319,319,A319,Airbus,yes,XY,KNE,124
A319,319,A319,Airbus,yes,4U,GWI,124
A319,319,A319,Airbus,yes,JD,JAS,124
A319,319,A319,Airbus,,,,124
A319,319,A319,Airbus,yes,HO,DKH,124
A319,319,A319,Airbus,yes,U2,EZY,124
A319,319,A319,Airbus,yes,CY,CYP,124
A319,319,A319,Airbus,yes,S7,SBI,124
A319,319,A319,Airbus,yes,RO,ROT,124
A319,319,A319,Airbus,yes,AT,RAM,124
A319,319,A319,Airbus,yes,OU,CTN,124
A319,319,A319,Airbus,yes,US,USA,124
A319,319,A319,Airbus,yes,LX,SWR,124
A319,319,A319,Airbus,yes,HU,CHH,124
A319,319,A319,Airbus,yes,OA,OAL,124
A319,319,A319,Airbus,,,,124
A319,319,A319,Airbus,yes,TP,TAP,124
A319,319,A319,Airbus,yes,EQ,TAE,124
A319,319,A319,Airbus,yes,IT,KFR,124
A319,319,A319,Airbus,,,,124
A319,319,A319,Airbus,yes,CO,COA,124
A319,319,A319,Airbus,yes,OK,CSA,124
A319,319,A319,Airbus,yes,SW,NMB,124
A319,319,A319,Airbus,yes,PN,CHB,124
A319,319,A319,Airbus,no,L9,TLW,124
A319,319,A319,Airbus,yes,KL,KLM,124
A319,319,A319,Airbus,yes,KQ,KQA,124
A319,319,A319,Airbus,yes,CI,CAL,124
A319,319,A319,Airbus,,,,124
A319,319,A319,Airbus,yes,NZ,ANZ,124
A319,319,A319,Airbus,yes,JP,ADR,124
A319,319,A319,Airbus,yes,KM,AMC,124
A319,319,A319,Airbus,yes,OS,AUA,124
A319,319,A319,Airbus,yes,CZ,CSN,124
A319,319,A319,Airbus,yes,EY,ETD,124
A319,319,A319,Airbus,yes,GF,GBA,124
A319,319,A319,Airbus,,,,124
A319,319,A319,Airbus,yes,NH,ANA,124
A319,319,A319,Airbus,yes,PG,BKP,124
A319,319,A319,Airbus,yes,SU,AFL,124
A319,319,A319,Airbus,yes,XK,CCM,124
A319,319,A319,Airbus,yes,AF,AFR,124
A319,319,A319,Airbus,yes,JJ,TAM,124
A319,319,A319,Airbus,,,,124
A319,319,A319,Airbus,yes,AY,FIN,124
A319,319,A319,Airbus,yes,SN,DAT,124
A319,319,A319,Airbus,yes,LR,LRC,124
A319,319,A319,Airbus,yes,MI,SLK,124
A320,320,A320,Airbus,yes,MU,CES,150
A320,320,A320,Airbus,yes,NK,NKS,150
A320,320,A320,Airbus,yes,E5,RBG,150
A320,320,A320,Airbus,,,,150
A320,320,A320,Airbus,yes,LN,LAA,150
A320,320,A320,Airbus,yes,ME,MEA,150
A320,320,A320,Airbus,yes,TA,TAT,150
A320,320,A320,Airbus,yes,BI,RBA,150
A320,320,A320,Airbus,no,W2,CWA,150
A320,320,A320,Airbus,yes,5L,RSU,150
A320,320,A320,Airbus,yes,QR,QTR,150
A320,320,A320,Airbus,yes,UJ,LMU,150
A320,320,A320,Airbus,yes,FQ,TCW,150
A320,320,A320,Airbus,yes,3O,,150
A320,320,A320,Airbus,yes,KK,KKK,150
A320,320,A320,Airbus,yes,AP,ADH,150
A320,320,A320,Airbus,yes,LH,DLH,150
A320,320,A320,Airbus,yes,FV,SDM,150
A320,320,A320,Airbus,yes,A3,AEE,150
A320,320,A320,Airbus,yes,RQ,KMF,150
A320,320,A320,Airbus,yes,ZH,CSZ,150
A320,320,A320,Airbus,yes,BL,PIC,150
A320,320,A320,Airbus,yes,RJ,RJA,150
A320,320,A320,Airbus,yes,KU,KAC,150
A320,320,A320,Airbus,yes,QJ,,150
A320,320,A320,Airbus,,,,150
A320,320,A320,Airbus,yes,PC,PGT,150
A320,320,A320,Airbus,yes,AA,AAL,150
A320,320,A320,Airbus,yes,KF,BLF,150
A320,320,A320,Airbus,,,,150
A320,320,A320,Airbus,yes,UL,ALK,150
A320,320,A320,Airbus,yes,FM,CSH,150
A320,320,A320,Airbus,yes,PR,PAL,150
A320,320,A320,Airbus,,,,150
A320,320,A320,Airbus,yes,UF,UKM,150
A320,320,A320,Airbus,,,,150
A320,320,A320,Airbus,,,,150
A320,320,A320,Airbus,yes,EP,IRC,150
A320,320,A320,Airbus,yes,9U,MLD,150
A320,320,A320,Airbus,yes,TR,TGW,150
A320,320,A320,Airbus,,,,150
A320,320,A320,Airbus,yes,J9,JZR,150
A320,320,A320,Airbus,yes,TD,LUR,150
A320,320,A320,Airbus,yes,JL,JAL,150
A320,320,A320,Airbus,yes,JQ,JST,150
A320,320,A320,Airbus,yes,VX,VRD,150
A320,320,A320,Airbus,yes,DE,CFG,150
A320,320,A320,Airbus,yes,T4,HEJ,150
A320,320,A320,Airbus,yes,U8,RNV,150
A320,320,A320,Airbus,yes,VA,VAU,150
A320,320,A320,Airbus,yes,AB,BER,150
A320,320,A320,Airbus,no,,LAU,150
A320,320,A320,Airbus,yes,KC,KZR,150
A320,320,A320,Airbus,yes,B6,JBU,150
A320,320,A320,Airbus,yes,QZ,AWQ,150
A320,320,A320,Airbus,yes,TT,TGW,150
A320,320,A320,Airbus,yes,Z2,,150
A320,320,A320,Airbus,yes,IY,IYE,150
A320,320,A320,Airbus,yes,GE,TNA,150
A320,320,A320,Airbus,yes,2P,GAP,150
A320,320,A320,Airbus,yes,SK,SAS,150
A320,320,A320,Airbus,yes,MH,MAS,150
A320,320,A320,Airbus,,,,150
